district,block,clf_id,clf_name,partner_organization,project_title
Baloda Bazar,Simga,330000149983,SHUBH CLF,PRADAN/RCRC,
Baloda Bazar,Simga,330000149977,UDAN MAHILA CLF,PRADAN/RCRC,
Balrampur,Balrampur,330000150516,DHARTI MATA CLF KOCHLI,PRADAN/RCRC,
Balrampur,Balrampur,330000150500,DURGAWATI MAHILA CLUSTER SANGATHAN,PRADAN/RCRC,
Balrampur,Rajpur,330000150626,AADHI SAKTI CLF JIGDI,PRADAN/RCRC,
Balrampur,Shankargarh,330000150674,UTTHAAN CLF KAMARI,PRADAN/RCRC,
Bastar,Bakawand,330000150753,BALIDAN MAHILA SANKUL SANNGATHAN,TRI,
Bastar,Bakawand,330000150782,JAGRITI AJIVIKA CLUSTER SANGATHAN,TRI,
Bastar,Bakawand,330000150769,ROSHNI WOMEN CLUSTER LEVEL FEDERATION,TRI,
Bastar,Bakawand,330000150776,TIRANGA MAHILA SANKUL SANGATHAN JAIBEL,TRI,
Bastar,Bastar,330000150867,CHITRAKOT MAHILA CLUSTER SANGATHAN GHOTIYA,PRADAN/RCRC,
Bastar,Bastar,330000150833,INDRAVATI MAHILA CLUSTER SANGATHAN CHAMI YA,PRADAN/RCRC,
Bastar,Bastar,330000150851,NARI SHAKTI CLUSTER SANGATHAN PARCHANPAL,PRADAN/RCRC,
Bastar,Darbha,330000150908,TIRATH DHARA MAHILA SANGH CHHINDAWADA,PRADAN/RCRC,
Bastar,Darbha,330000150879,TIRATH DHARA MAHILA SANGH GUMADPAL,PRADAN/RCRC,
Bastar,Darbha,330000150880,TIRATHDHARA MAHILA SANGH SANKUL ALWA,PRADAN/RCRC,
Bastar,Darbha,330000150898,TIRATHDHARA MAHILA SANGH TIRATHDHARA MAHILA SANGH,PRADAN/RCRC,
Bastar,Jagdalpur,330000150931,ROSHNI MAHILA CLUSTER SANGATHAN MADPAL,PRADAN/RCRC,
Bastar,Jagdalpur,330000150912,TIRANGA MAHILA CLUSTER SANGATAN PANDRIPANI,PRADAN/RCRC,
Bastar,Lohandiguda,330000150983,LAKSHYADEEP CLUSTER SANGATHAN,PRADAN/RCRC,
Bastar,Tokapal,330000151016,CLUSTER SANGTHAN NARANGI,PRADAN/RCRC,
Bastar,Tokapal,330000151000,KALPANA MAHILA CLUSTER SANGATHAN,PRADAN/RCRC,
Bastar,Tokapal,330000151028,RANI LAXMI BAI MAHILA CLUSTAR SANGATHAN,PRADAN/RCRC,
Dantewada,Dantewada,330000151276,DANTESHWARI MAHILA CLUSTER SANGTHAN,PRADAN/RCRC,
Dantewada,Dantewada,330000151248,JAGRITI MAHILA SANKUL SANGATAN,PRADAN/RCRC,
Dantewada,Geedam,330000151282,DHARTI MATA CLUSTER SANGATHAN SAMLUR,TRI,
Dantewada,Geedam,330000151295,NAGDEVTA SANKUL SANGTHAN MUCHNAR,TRI,
Dantewada,Geedam,330000151314,SAKTI CLUSTER SANGATH HARAM,TRI,
Dantewada,Geedam,330000151305,VIKAS SANKUL SANGATH BADE TUMNAR,TRI,
Dantewada,Kuwakonda,330000151322,EKTA MAHILA CULSTER SHAGTHAN,PRADAN/RCRC,
Dhamtari,Dhamtari,330000151538,ASHARYA MAHILA CLUSTER SANGATAN GRAM DEMAR,PRADAN/RCRC,
Dhamtari,Dhamtari,330000151540,SADBHAWNA MAHILA SANKUL STARIYA SANGATHAN,PRADAN/RCRC,
Dhamtari,Kurud,330000151564,DEVI MAHILA CLUSTER SANGATHAN CHARRA,PRADAN/RCRC,
Dhamtari,Kurud,330000151572,VIKASH MAHILA CLUSTER SANGATHAN KORRA,PRADAN/RCRC,
Dhamtari,Magarlod,330000151627,JAI MAA BANJARI MAHILA CLUSTER SANTHANSINGPUR,PRADAN/RCRC,
Dhamtari,Nagri,330000151658,BAHINI SHAKTI SANKUL SANKRA,PRADAN/RCRC,
