district,block,clf_id,clf_name,partner_organization,project_title
Bokaro,Bermo,340000204590,BERMO AAJEEVIKA MAHILA SANKUL SANGATHAN,Nudge,
Bokaro,Bermo,340000204601,GOVINDPUR AAJEEVIKA MAHILA SANKUL SANGATHAN,IMAGO Global Grassroots,
Bokaro,Bermo,340000204601,GOVINDPUR AAJEEVIKA MAHILA SANKUL SANGATHAN,Nudge,
Bokaro,Chandankiyari,340000204629,BATBINOR MAHILA AJIVIKA SANKUL SANGATHAN,Nudge,
Bokaro,Chandankiyari,340000204655,CHANDRA AJIVIKA MAHILA SANKUL SANGATHAN,Nudge,
Bokaro,Chandankiyari,340000204655,CHANDRA AJIVIKA MAHILA SANKUL SANGATHAN,PRADAN,
Bokaro,Chandankiyari,340000204638,LANKA AJIVIKA MAHILA SANKUL SANGATHAN,Nudge,
Bokaro,Chas,340000204722,KURA AAJIVIKA MAHILA SANKUL SANGATHAN,Sa-Dhan,
Bokaro,Chas,340000204705,KUSHMA AAJEEVIKA MAHILA SANKUL SANGATHAN,Sa-Dhan,
Bokaro,Chas,340000204693,PINDRAJORA AAJIVIKA MAHILA SANKUL SANGATHAN,Sa-Dhan,
Bokaro,Chas,340000204733,RADHANAGAR AJEEVIKA MAHILA SANKUL SANGATHAN,Sa-Dhan,
Bokaro,Gomia,340000204831,CHATROCHATTI AAJIVIKA MAHILA SANKUL SANGATHAN,Nudge,
Bokaro,Gomia,340000204831,CHATROCHATTI AAJIVIKA MAHILA SANKUL SANGATHAN,Sa-Dhan,
Bokaro,Gomia,340000204812,GOMIA AAJIVIKA MAHILA SANKUL SANGATHAN,Nudge,
Bokaro,Gomia,340000204812,GOMIA AAJIVIKA MAHILA SANKUL SANGATHAN,PRADAN,
Bokaro,Gomia,340000204812,GOMIA AAJIVIKA MAHILA SANKUL SANGATHAN,Sa-Dhan,
Bokaro,Gomia,340000204808,MAHUATAND AAJEEVIKA MAHILA SANKUL SANGATHAN,PRADAN,
Bokaro,Gomia,340000204808,MAHUATAND AAJEEVIKA MAHILA SANKUL SANGATHAN,Sa-Dhan,
Bokaro,Gomia,340000204820,SARHACHIYA AAJIVIKA MAHILA SANKUL SANGATHAN,Sa-Dhan,
Bokaro,Gomia,340000204798,TILLAIYA AJIVKA MAHILA SANKUL SANGTHAN,Sa-Dhan,
Bokaro,Gomia,340000204780,TULBUL AJIVIKA MAHILA SANKUL SANGTHAN,PRADAN,
