district,block,clf_id,clf_name,partner_organization,project_title
Alirajpur,Sondwa,170000405196,Kajal Mata Sankul Sanghthan Mathwad,TRIF,
Alirajpur,Sondwa,170000405203,Maa Shakti Aajivika Clf Umarali,TRIF,
Alirajpur,Sondwa,170000405219,Mahila Shakti Ajivika Sankul Sangthan Sankul Sondwa,TRIF,
Alirajpur,Sondwa,170000405226,Nari Shakti Ajivika Sankul Sangathan Chhaktala,TRIF,
Anuppur,Pushprajgarh,,Jeevan Dayani Sankul Sangthan Rajendragram,IMAGO Global Grassroots,
Balaghat,Baihar,,Godavari Ajivika Sankul Stariy,PRADAN,
Balaghat,Baihar,,Nari Shakti Mahila Aajeevika Clf,PRADAN,
Balaghat,Baihar,,Savitri Fule Mahila Ajivika Clf,PRADAN,
Balaghat,Balaghat,,Manobal Mahila Ajivika Sankul Stariya Sanghan Balaghat,RCRC,
Balaghat,Balaghat,,Pragati Mahila Aajivika Sankul Stariya Sangathan Naharvani,PRADAN,
Balaghat,Balaghat,,Prerna Mahila Ajivika Sankul Stariya San,PRADAN,
Balaghat,Birsa,,Birsa Munda Sankul Stariy Sangthan Jaunpur,PRADAN,
Balaghat,Birsa,,Pragati Mahila Ajivika Sankul Stariya Sangathan Mandai,PRADAN,
Balaghat,Birsa,,Vanya Sankul Stariya Sangathan Clf Block Birsa,PRADAN,
Balaghat,Birsa,,Vasundhra Sankul Stariya Sangthan Damoh,PRADAN,
Balaghat,Katangi,,Pragati Mahila Aajivika Sankul Stariy Sangthan Nandlesara,PRADAN,
Balaghat,Paraswada,,Pragati Mahila Aaj Sankul Stayiya Sangathan Kanai,PRADAN,
Barwani,Rajpur,170000406885,Jagrati Sankul Stariy Sangh Rajpur,IMAGO Global Grassroots,
Barwani,Rajpur,170000406885,Jagrati Sankul Stariy Sangh Rajpur,TRIF,
Barwani,Rajpur,170000459517,Jeevan Jyoti Mahila Stariya Sangh Palsud,TRIF,
Barwani,Rajpur,170000460480,Mahila Shakti Clf Ozar,TRIF,
Barwani,Rajpur,170000406892,Nari Shakti Sankul Stariya Sankul Julwaniya,TRIF,
Betul,Shahpur,,Unnati Mahila Sankul Stariya Parisangh Bhoura,IMAGO Global Grassroots,
Chhatarpur,Bada Malehara,24703,Gramoday Sakkul Stariya Sangthan,SRIJAN,
Chhatarpur,Bada Malehara,46003,Jagruti Sankul Stariya Sangathan,SRIJAN,
Chhatarpur,Bada Malehara,43626,Maa Sharda Clf Badamalahra,SRIJAN,
Chhatarpur,Bada Malehara,8497,Nari Shakti Mahila Mandal Samiti,SRIJAN,
Chhatarpur,Bada Malehara,43661,Vigyan Sankul Shatriya Sanghatan,SRIJAN,
Chhatarpur,Bijawar,8483,Jatashankar Mahila Mandal Samiti Jatashankar,SRIJAN,
Chhatarpur,Bijawar,8481,Mahakaal Mahila Mandal Samiti Satai,RCRC,
Chhatarpur,Bijawar,8481,Mahakaal Mahila Mandal Samiti Satai,SRIJAN,
Chhatarpur,Bijawar,8482,Manshapuran Mahila Mandal Samiti Bijawar,SRIJAN,
Chhatarpur,Bijawar,24403,Nav Jagrati Sankul Stariya Sangthan Kishangarh,SRIJAN,
Chhatarpur,Nowgoan,8488,Addi Kumari,SRIJAN,
Chhatarpur,Nowgoan,8489,Nari Ekta Mahila Mandal Samiti,SRIJAN,
Chhatarpur,Nowgoan,47433,Pragati Mahila Mandal Samti Nowgong,SRIJAN,
Chhatarpur,Rajnagar,45996,Mantgeshwar Mahila Mandal Samiti Khajwa,SRIJAN,
Chhatarpur,Rajnagar,8496,Padam Mahila Mandal Samiti,SRIJAN,
Chhatarpur,Rajnagar,8495,"Sitaram Mahila Mandal Samiti, Khairi",SRIJAN,
Chhindwara,Chaurai,,Unnati Sankul Stariya Sangatha,RCRC,
Chhindwara,Harai,,Nari Shakti Sankul Stariy Sangthan Dhanora,RCRC,
Dewas,Dewas,,Disha sankul Sangthan Agrod,FWWB,
Dewas,Dewas,,Disha sankul Sangthan Agrod,SV Agri,
Dewas,Khategaon,170000409129,Ekta Sankul Sangthan Vikrampur,TRIF,
Dewas,Khategaon,170000409138,Ganga Sandalpur Sankul Mahila Aajivika,TRIF,
Dewas,Khategaon,170000409101,Vishvash Sankul Estri Sanghathan Sektar,IMAGO Global Grassroots,
Dewas,Khategaon,170000409101,Vishvash Sankul Estri Sanghathan Sektar,TRIF,
Dhar,Manawar,170000408179,Aadishakti Aajivika Sankul Sanghtan,RCRC,
Dhar,Manawar,170000408179,Aadishakti Aajivika Sankul Sanghtan,TRIF,
Dhar,Manawar,170000408151,Mahashakti Ajivika Sankul Sagthan Shinghana,IMAGO Global Grassroots,
Dhar,Manawar,170000408151,Mahashakti Ajivika Sankul Sagthan Shinghana,TRIF,
Dhar,Manawar,170000408167,Nav Shakti Aajivika Cluster Sangathan Manawar,TRIF,
Dhar,Nalchha,,Shivaji Aajivika Sankul Stariya Sangthan Nalcha,RCRC,
Dhar,Tirla,,Shri Ganesh Mahila Ajivika Sankul Sangthan Salkanpur,RCRC,
Dindori,Dindori,,Sankul Stariya Mahila Ajivika Bahuprayojan Sahakari Samiti Shahpur,RCRC,
Guna,Bamori,,PRI Mahila Aajeevika Bahu Prayojan Sahakari Samiti,IMAGO Global Grassroots,
Jhabua,Petlawad,170000410944,Krashn Bhagwan Sankul Sanghtan Karwad,TRIF,
Jhabua,Petlawad,170000410992,Nari Shakti Sankul Sanghtan Petlawad,TRIF,
Jhabua,Petlawad,170000410928,Rani Laxmibai Sankul Sangthan Bamniya,TRIF,
Jhabua,Thandla,170000411077,Amar Jyoti Mahila Sangh Sankul Kakanwani,TRIF,
Jhabua,Thandla,170000411077,Gram Jyoti Mahila Shangh Khawasa,TRIF,
Jhabua,Thandla,170000411083,Sarvoday Mahila Sangh Thandla,TRIF,
Khargone,Kasrawad,,Matra Shakti Aajivika Sankul Sangthan,IMAGO Global Grassroots,
Mandla,Bijadandi,170000411818,Ekta Mahila Ajivika Sssjamthar,TRIF,
Mandla,Bijadandi,170000411785,Jwala Mahila Aajivika Sankul Stariya Parisamgh,TRIF,
Mandla,Bijadandi,170000411802,Swaragini Mahila Aji Sankul Stariya Parisangha,TRIF,
Mandla,Bijadandi,170000411792,Unnati Mahila Ajivika Sakul Area Group,TRIF,
Mandla,Ghughri,,Surya Mahila Ajeevika Sankul S,RCRC,
Mandla,Niwas,,Sagar Mahila Aajeevika Sankul Level Sanghathan Hathitara,RCRC,
Mauganj,Naigarhi,,Sangam Clf,IMAGO Global Grassroots,
Narmadapuram,Kesla,,Reva Sankul Mahila Aajivika Bahuprayojan Sahkari Sangh Maryadit Bock Kesla,IMAGO Global Grassroots,
Pandhurna,Pandhurna,,Adarsh Sankul Stariya Sangthan Teegaon,RCRC,
Pandhurna,Pandhurna,,Shree Sai Sankul Stariya Sangthan Gram Ambada,RCRC,
Raisen,Gairatganj,,Sangam Samudayik Sahyog Sanstha Samnapurkalan,IMAGO Global Grassroots,
Rajgarh,Khilchipur,,Vishwas Mahila Samudayik Sahyog Sangthan,IMAGO Global Grassroots,
Sagar,Deori,,Hitkari Sankul Istar Sangdhan,RCRC,
Sagar,Rehli,,Udayimaan Sankul Sangh Mp Rajya Gramin Aajiwika Mission,IMAGO Global Grassroots,
Sehore,Budni,170000417105,Ekta Aajivika Sankul Stariye Sang Malibayan,TRIF,
Sehore,Budni,170000417095,Sakti Aajivika Sankul Stariye Sangh Shahganj,TRIF,
Sehore,Budni,170000417133,Unnati Aajivika Sankul Satariye Sang Budni,IMAGO Global Grassroots,
Sehore,Budni,170000417133,Unnati Aajivika Sankul Satariye Sang Budni,TRIF,
Shivpuri,Pichhore,,Dhay Mahadevmahila Samuday Kalyan Samiti Bhonti,IMAGO Global Grassroots,
Tikamgarh,Baldeogarh,2848,Chetna Mahila Bahu Uddeshiya Shakh Shahkari Samiti Maryadit Clf Khargapur,SRIJAN,
Tikamgarh,Baldeogarh,45606,Maa Vindhyavasini Clf,SRIJAN,
Tikamgarh,Baldeogarh,46028,Rani Laxmibai Clf,SRIJAN,
Tikamgarh,Baldeogarh,47300,Sadhna Clf Hata,SRIJAN,
Tikamgarh,Jatara,46007,Astha Sankul Satariy Sanghthan,SRIJAN,
Tikamgarh,Jatara,45503,Gyan Ganga Clf,SRIJAN,
Tikamgarh,Jatara,7341,Nav Joyti Mahila Bahuuddeshiy Sakh Sahkari Samiti Maryadit Digora,SRIJAN,
Tikamgarh,Jatara,8527,Prana Mahila Bahuuddesiy Sakh Samiti Mariyadit Calaster Livil Fedreshan Mohangar,SRIJAN,
