district,block,clf_id,clf_name,partner_organization,project_title
Agra,Barauli Ahir,310000829115,GANGOTRI,PCI,
Agra,Fatehpur Sikri,310000829250,KISHAN MAHILA PRERNA CLUSTER LEVEL FEDERATION TAJPUR NAGRIYA,PCI,
Aligarh,Dhanipur,310000829733,BHARATI CLF HARDUA DEHAT,IMAGO,
Aligarh,Dhanipur,310000829751,JYOTI AAJEEVIKA CLF DHANIPUR,PCI,
Aligarh,Tappal,310000830024,JEEVAN JYOTI AJEEVIKA MAHILA SANKUL SAMITI TAPPAL,IMAGO,
Aligarh,Tappal,310000830024,JEEVAN JYOTI AJEEVIKA MAHILA SANKUL SAMITI TAPPAL,PCI,
Aligarh,Tappal,310000830024,JEEVAN JYOTI AJEEVIKA MAHILA SANKUL SAMITI TAPPAL,TRIF,
Aligarh,Tappal,310000830048,NARI SHAKTI AJEEVIKA MAHILA SANKUL SAMITI NAGLIYA BIJANA,TRIF,
Aligarh,Tappal,310000830011,PRERNA AJEEVIKA CLUSTER FEDRATION MALAV,TRIF,
Aligarh,Tappal,310000830030,UNNATI AJEEVIKA MAHILA SANKUL SAMITI JARTAULI,PCI,
Aligarh,Tappal,310000830030,UNNATI AJEEVIKA MAHILA SANKUL SAMITI JARTAULI,TRIF,
Ambedkar Nagar,Akbarpur,310000830053,SAMRIDDHI PRERNA SANKUL STARIYE SAMITI,Microsave,
Ambedkar Nagar,Akbarpur,310000830076,SANKALP PRERNA MAHILA SANKUL SANGH,Microsave,
Ambedkar Nagar,Akbarpur,310000830069,SANSKAR PRERNA SANKUL SANGH,Microsave,
Ambedkar Nagar,Akbarpur,310000830082,SANSKRITI PRERNA MAHILA SANKUL SANGH,Microsave,
Bahraich,Chitaura,310000832313,UNNATI MAHILA SANKUL SANGH,PCI,
Bahraich,Fakharpur,310000832626,MAHILA SHAKTI PRERNA,IMAGO,
Bahraich,Fakharpur,310000832626,MAHILA SHAKTI PRERNA,RCRC,
Bahraich,Mihinpurwa,310000832500,DEVI MAHEELA SANKUL SANGH,Development Alternatives,
Bahraich,Mihinpurwa,310000832500,DEVI MAHEELA SANKUL SANGH,TRIF,
Bahraich,Mihinpurwa,310000832528,NARISAKTI SANKUL STARIY SANGH,Development Alternatives,
Bahraich,Mihinpurwa,310000832528,NARISAKTI SANKUL STARIY SANGH,TRIF,
Bahraich,Mihinpurwa,310000832537,SAHARA MAHEELA SANKUL SANGH,Development Alternatives,
Bahraich,Mihinpurwa,310000832537,SAHARA MAHEELA SANKUL SANGH,IMAGO,
Bahraich,Mihinpurwa,310000832537,SAHARA MAHEELA SANKUL SANGH,PCI,
Bahraich,Mihinpurwa,310000832537,SAHARA MAHEELA SANKUL SANGH,TRIF,
Bahraich,Mihinpurwa,310000832516,SAKHI PRERNA SANKUL SAMITI,Development Alternatives,
Bahraich,Mihinpurwa,310000832516,SAKHI PRERNA SANKUL SAMITI,TRIF,
Bahraich,Prayagpur,310000832585,UMMID PRERNA SANKUL STARIYA SANGH,PCI,
Bahraich,Visheshwarganj,310000832805,PARMESHWAR MAHILA SANKUL STARIYE SANGH,PCI,
Banda,Baberu,310000831338,HAUSLA MAHILA PRERANA SANKUL SAMITI,IMAGO,
Banda,Naraini,310000831580,ADARSH MAHILA PRERNA,IMAGO,
Banda,Naraini,310000831580,ADARSH MAHILA PRERNA,PCI,
Banda,Naraini,310000831580,ADARSH MAHILA PRERNA,TRIF,
Banda,Naraini,310000831598,BULAND CLF NARAINI CLUSTER,TRIF,
Banda,Naraini,310000831579,CHETANA MAHILA PRERNA SANKUL SAMITI,IMAGO,
Banda,Naraini,310000831579,CHETANA MAHILA PRERNA SANKUL SAMITI,TRIF,
Banda,Naraini,310000831607,SAFAL CLF KARTAL CLUSTER,TRIF,
Barabanki,Bani Kodar,310000831653,BANIKODAR AAJIVIKA MAHILA SANKUL STARIYA SANGH,PCI,
Barabanki,Bani Kodar,310000977376,KHUSHEHATI PRERNA AAJEEVIKA MAHILA SANKUL ISTRIYA SANGH,PCI,
Barabanki,Bani Kodar,310000831682,MAU PRERNA AAJEEVIKA MAHILA SANKUL STARIY SANGH,PCI,
Barabanki,Bani Kodar,310000831676,SANAULI PRERNA AAJIVIKA MAHILA SANKUL STARIYA SANGH,PCI,
Barabanki,Ramnagar,310000832058,TILOK MAHILA PRERNA CLF,PCI,
Barabanki,Suratganj,310000832091,CHHEDA PRERNA SANKUL SANGH,PCI,
Barabanki,Suratganj,310000832117,LALPUR KARAUTA MAHILA SANKUL SANG,PCI,
Basti,Bahadurpur,310000833481,UNNATI PRERNA MAHILA SANKUL STARIYA SAMITI,PCI,
Basti,Bankati,310000833468,DEEPAK PRERNA SANKUL STRIYA SANGH,TRIF,
Basti,Bankati,310000833447,JEEWAN JYOTI PRERNA SANKUL STRIYA SANGH,TRIF,
Basti,Bankati,310000833452,SATYAM PRERNA SANKUL STRIYA SANGH,IMAGO,
Basti,Bankati,310000833452,SATYAM PRERNA SANKUL STRIYA SANGH,TRIF,
Basti,Sau Ghat,310000833857,AAJADI AAJIVIKA MAHILA CLF,PCI,
Basti,Sau Ghat,310000833874,NAV JYOTI PRERNA MAHILA SANKUL SAMITI,IMAGO,
Bijnor,Nehtaur,310000387666,AKASH DEEP PRERNA MAHILA SANKUL SAMITI SALEMPUR RUKHADIYO,GDi Partners,
Deoria,Baitalpur,310000835353,HIND PRERNA SANKUL SAMITI,Development Alternatives,
Deoria,Baitalpur,310000835348,PARIVARTAN PRERANA SANKUL SANGH,Development Alternatives,
Deoria,Baitalpur,310000835330,TARAINI PRERANA SANKUL SANGH,Development Alternatives,
Deoria,Baitalpur,310000835369,UTTAM PRERNA SANKUL SAMITI,Development Alternatives,
Deoria,Barhaj,310000835250,AADI SHAKTI MAHILA PRERNA SANKUL STARIY SAMITI,Development Alternatives,
Deoria,Barhaj,310000835266,NAI KIRAN SANKUL STARIY SANGH,Development Alternatives,
Deoria,Barhaj,310000835278,PRAGATI MAHILA PRERNA SANKUL STARIY SAMITI,Development Alternatives,
Deoria,Barhaj,310000835284,SANGARSH SANKUL STARIY SANGH,Development Alternatives,
Deoria,Gauri Bazar,310000835526,ATMVISHWASH PRERANA SANKUL SAMITI,IMAGO,
Deoria,Pathar Dewa,310000835588,PRAGATI PRERANA SANKUL STARIY SAMITI,Development Alternatives,
Deoria,Pathar Dewa,310000835590,SAFALATA PRERANA MAHILA SANKUL STARIY SAMITI,Development Alternatives,
Deoria,Pathar Dewa,310000835601,SAMRIDDHI PRERNA SANKUL STARIYA SAMITI,Development Alternatives,
Deoria,Pathar Dewa,310000835574,UNNATI PRERNA SANKUL STARIY SAMITI,Development Alternatives,
Deoria,Rampur Karkhana,310000835638,DHAN LAXMI SANKUL STARIY SANGH,Development Alternatives,
Deoria,Rampur Karkhana,310000835629,JYOTI PRENA SANKUL SANGH,Development Alternatives,
Deoria,Rampur Karkhana,310000835617,PRATIGYA PRERNA SANKUL SANGH,Development Alternatives,
Deoria,Rampur Karkhana,310000835640,SANGAM SANKUL AASATRIYE SANGH,Development Alternatives,
Deoria,Rudrapur,310000835686,ADARSH AAJIVEEKA CLF,Development Alternatives,
Deoria,Rudrapur,310000835672,DEEPAK AAJIVEEKA CLF,Development Alternatives,
Deoria,Rudrapur,310000835664,MA PRERANA CLF,Development Alternatives,
Deoria,Rudrapur,310000835655,SWARG PRERNA CLF,Development Alternatives,
Deoria,Tarkulwa,310000835733,ANUBHAV PRERANA SANKUL SAMITI CLF,Development Alternatives,
Deoria,Tarkulwa,310000835746,HINDUSTAN SANKUL SAMITI CLF,Development Alternatives,
Deoria,Tarkulwa,310000835767,PARIVARTAN SANKUL SAMITI,Development Alternatives,
Deoria,Tarkulwa,310000835751,SANSKAR PRERANA SANKUL SAMITI CLF,Development Alternatives,
Fatehpur,Amauli,310000836491,JAGRITI AJIVIKA SANKUL SANGTHAN BURHWAN,PCI,
Fatehpur,Hathgaon,310000836709,MA LAXMI MAHILA CLF,PCI,
Fatehpur,Malwan,310000836797,PRAGATI MAHILA,PCI,
Gorakhpur,Bansgaon,310000838118,KRANTI PRERNA SANKUL STARIYA SAMITI,Development Alternatives,
Gorakhpur,Bansgaon,310000838139,SAFAL SANKUL STARIYA SAMIT,Development Alternatives,
Gorakhpur,Bansgaon,310000928533,SANSKAR PRERNA SANKUL SAMITI,Development Alternatives,
Gorakhpur,Bansgaon,310000838125,TIRANGA PRERNA SANKUL SAMITI,Development Alternatives,
Gorakhpur,Brahmpur,310000838230,BADLAW PRERNA SANKUL SAMITI,Development Alternatives,
Gorakhpur,Brahmpur,310000838269,MAYI DHIYA PRERNA CLF,Development Alternatives,
Gorakhpur,Brahmpur,310000838248,UTSAH PRERNA CLF,Development Alternatives,
Gorakhpur,Brahmpur,310000838253,UTSARG PRERNA CLF,Development Alternatives,
Gorakhpur,Charganwa,310000838314,ABHIMAN PRERNA CLF,Development Alternatives,
Gorakhpur,Charganwa,310000838322,NAYI DISHA SANKUL SAMITI,Development Alternatives,
Gorakhpur,Charganwa,310001126036,SWABHIMAAN PRERNA SANKUL SAMITI,Development Alternatives,
Gorakhpur,Charganwa,310000838333,UDAAN PRERNA SANKUL SAMITI,Development Alternatives,
Gorakhpur,Gola,310000838398,JWALA PRERNA SANKUL STARIYA SAMIT,Microsave,
Gorakhpur,Khorabar,310001028642,AKHAND PRERNA SANKOOL SAMITI,Development Alternatives,
Gorakhpur,Khorabar,310001018152,JAGRITI PRERANA SANKUL SAMITI,Development Alternatives,
Gorakhpur,Khorabar,310001029146,RANI LAXMI BAI SANKUL SAMITI,Development Alternatives,
Gorakhpur,Khorabar,310000838517,VAN SHAKTI PRERANA MAHILA SANKUL STARIY SANGH,Development Alternatives,
Gorakhpur,Pali,310000838538,SAFAL PRERNA MAHILA SANKUL STARIYA SAMITI,IMAGO,
Gorakhpur,Pipraich,310000838604,PARISHRAM PRERNA SANKUL SAMITI,Development Alternatives,
Gorakhpur,Pipraich,310000838586,PARIVARTAN PRERNA SANKUL SAMITI,Development Alternatives,
Gorakhpur,Pipraich,310000838593,UMMID PRERNA CLF,Development Alternatives,
Gorakhpur,Pipraich,310000838572,URAN PRERNA SANKUL SANGH KUSMI,Development Alternatives,
Gorakhpur,Pipraich,310000838572,URAN PRERNA SANKUL SANGH KUSMI,IMAGO,
Gorakhpur,Pipraich,310000838572,URAN PRERNA SANKUL SANGH KUSMI,PCI,
Gorakhpur,Piprauli,310001023414,AMRIT PRERANA SANKUL SAMITI,Development Alternatives,
Gorakhpur,Piprauli,310000901830,PRAKASH PRERNA SANKUL SAMITI BHAWAPAR,Development Alternatives,
Gorakhpur,Piprauli,310000838615,SAVERA PRERNA SANKUL STARIYA SANGH,Development Alternatives,
Gorakhpur,Piprauli,310000838627,SHIKHAR PRERNA SANKUL SAMITI,Development Alternatives,
Gorakhpur,Sahjanawa,310000838658,HARIYALI PRERANA SANKUL SAMITI,Development Alternatives,
Gorakhpur,Sahjanawa,310000838643,PRAKASH PRERNA CLF,Development Alternatives,
Gorakhpur,Sahjanawa,310000838636,SAKSHAM PRERNA CLF,Development Alternatives,
Gorakhpur,Sahjanawa,310000838662,UDAY PRERNA SANKUL STARIYA SAMITI,Development Alternatives,
Gorakhpur,Sardarnagar,310000838689,ATAL PRERNA CLF,Development Alternatives,
Gorakhpur,Sardarnagar,310000838708,SANKALP PRERNA CLF,Development Alternatives,
Gorakhpur,Sardarnagar,310000838670,SAUBHAGAY PRERNA CLF,Development Alternatives,
Gorakhpur,Sardarnagar,310000838691,UTTHAN PRERNA CLF,Development Alternatives,
Hamirpur,Maudaha,310000839286,EKTAMAHILA,Nudge,
Hamirpur,Maudaha,310000839272,MARYADA MAHILA SANKUL SAMITI PATANPUR,Nudge,
Hamirpur,Maudaha,310000839293,NARI SAKTI,Nudge,
Hamirpur,Maudaha,310000839264,VISVAS MAHILA,Nudge,
Hamirpur,Muskara,310000839326,ADARSH PRERNA MAHILA,TRIF,
Hamirpur,Muskara,310000839335,CHANCHAL MAHILA PRERNA,TRIF,
Hamirpur,Muskara,310000839303,NANDANI PRERNA MAHILA,TRIF,
Hamirpur,Muskara,310000839319,PRAGATI PRERNA MAHILA SANKUL SAMITI,IMAGO,
Hamirpur,Muskara,310000839319,PRAGATI PRERNA MAHILA SANKUL SAMITI,TRIF,
Hamirpur,Sumerpur,310000839446,UDAAN,IMAGO,
Hardoi,Pihani,310000839943,JAI HIND PRENA SANKUL SAMITEE,PCI,
Jalaun,Kadaura,310000840545,PRAKASH MAHILA CLUSTER,IMAGO,
Jhansi,Babina,310000395151,GANGASAGAR PRERNA SANKUL SAMITI KHAILAR,Development Alternatives,
Jhansi,Babina,310000395167,MAHASAGAR PRERNA SANKUL SAMITI,Development Alternatives,
Jhansi,Babina,310000395167,MAHASAGAR PRERNA SANKUL SAMITI,IMAGO,
Jhansi,Babina,310000395180,PREM SAGAR MAHILA PRERANA SANKUL SAMITI,Development Alternatives,
Jhansi,Babina,310000395179,SUKH SAGAR PRERNA SANKUL SAMITI RAKSA,Development Alternatives,
Jhansi,Badagaon,310000395048,LAKSHYA PRERANA SANKUL SAMITI,Development Alternatives,
Jhansi,Badagaon,310000395069,MANJIL PRARNA SANKUL SAMITI,Development Alternatives,
Jhansi,Badagaon,310000395030,SANGAM PRERNA SANKUL SAMITI,Development Alternatives,
Jhansi,Badagaon,310000395053,SHREE RAMRAJA PRERNA SANKUL SAMITI,Development Alternatives,
Jhansi,Bangra,310000395133,PRAGATI PRENNA SANKUL STARIYA SAMITI,Development Alternatives,
Jhansi,Bangra,310000395146,TEJASAVI PRENA SANKUL STARIYA SAMITI,Development Alternatives,
Jhansi,Bangra,310000395122,UDAAN SANKUL STARIYA SAMITI BLOCK BANGRA,Development Alternatives,
Jhansi,Bangra,310000395114,VIBHU PRERNA SANKUL SAMITI,Development Alternatives,
Jhansi,Chirgaon,310000395198,ANANT PRERNA SANKUL SAMITI,Development Alternatives,
Jhansi,Chirgaon,310000395228,BULAND PRERNA SANKUL SAMITI,Development Alternatives,
Jhansi,Chirgaon,310000395216,SAHARA PRERNA SANKUL SAMITI,Development Alternatives,
Jhansi,Chirgaon,310000395200,UDAN PRERNA SANKUL SAMITI,Development Alternatives,
Jhansi,Gursarai,,EKTA PRERNA SANKUL SAMITI,Development Alternatives,
Jhansi,Gursarai,,JEEVIKA PRERNA MAHILA SANKUL SAMITI,Development Alternatives,
Jhansi,Gursarai,310000395244,PRATIGYA PRERNA MAHILA SANKUL SAMITI PANDWAHA,Development Alternatives,
Jhansi,Gursarai,,TRIVENI PRERNA MAHILA SANKUL SAMITI,Development Alternatives,
Jhansi,Mauranipur,310000395339,JHANSI KI RANI SANKUL SAMITI,Development Alternatives,
Jhansi,Mauranipur,310000395341,MATRA BHUMI SANKUL SAMITI,Development Alternatives,
Jhansi,Mauranipur,310000395318,NAYA SABERA SANKUL SAMITI,Development Alternatives,
Jhansi,Mauranipur,310000395325,UDAN SANKUL SAMITI,Development Alternatives,
Jhansi,Moth,310000395292,ANMOL PRERNA SANKUL SAMITI,Development Alternatives,
Jhansi,Moth,310000395302,GARIMA PRERNA SANKUL SAMITI,Development Alternatives,
Jhansi,Moth,310000395285,NAYA SAVERA PRERNA SANKUL SAMITI CLF,Development Alternatives,
Jhansi,Moth,,VIKAS PRERNA SANKUL SAMITI,Development Alternatives,
Kanpur Dehat,Akbarpur,310001082576,BADHTE KADAM PRERNA SANKUL SAMIT,Nudge,
Kanpur Dehat,Akbarpur,310000956690,DEEPDAN PRERNA MAHILA SANKUL SAMIT,Nudge,
Kanpur Dehat,Akbarpur,310000964076,LAXMI BAI MAHILA PRERNA SANKUL SAMITI,Nudge,
Kanpur Dehat,Akbarpur,310000841888,VIKAS PRERNA MAHILA SANKUL SAMITI,Nudge,
Kanpur Dehat,Amrodha,310001080921,BADHATE KADAM PRERNA SANKUL SAMITI,Nudge,
